train_path,test_path,nrow_test_data,len_same_id_in_source_code,len_same_id_in_dataset,tp,fp,tn,fn,dup_ratio
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/ant/ant_1.3.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/ant/ant_1.4.csv,265,169,60,0,9,51,0,0.226415094
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/ant/ant_1.4.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/ant/ant_1.5.csv,401,146,20,0,3,14,3,0.049875312
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/ant/ant_1.5.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/ant/ant_1.6.csv,523,359,64,0,4,60,0,0.122370937
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/ant/ant_1.6.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/ant/ant_1.7.csv,1066,478,110,0,7,102,1,0.103189493
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/camel/camel_1.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/camel/camel_1.2.csv,765,111,43,0,8,34,1,0.05620915
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/camel/camel_1.2.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/camel/camel_1.4.csv,1122,531,210,7,9,160,34,0.187165775
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/camel/camel_1.4.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/camel/camel_1.6.csv,1252,1401,501,9,77,403,12,0.400159744
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/forrest/forrest_0.7.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/forrest/forrest_0.8.csv,35,203,19,0,1,18,0,0.542857143
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/jEdit/jEdit_3.2.1.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/jEdit/jEdit_4.csv,606,142,116,0,17,99,0,0.191419142
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/jEdit/jEdit_4.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/jEdit/jEdit_4.1.csv,644,177,122,0,13,105,4,0.189440994
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/jEdit/jEdit_4.1.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/jEdit/jEdit_4.2.csv,805,175,102,0,20,82,0,0.126708075
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/jEdit/jEdit_4.2.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/jEdit/jEdit_4.3.csv,1132,65,50,0,11,39,0,0.044169611
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/log4j/log4j_1.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/log4j/log4j_1.1.csv,122,80,54,1,6,46,1,0.442622951
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/log4j/log4j_1.1.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/log4j/log4j_1.2.csv,282,79,36,0,33,3,0,0.127659574
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/lucene/lucene_2.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/lucene/lucene_2.2.csv,381,410,94,0,46,47,1,0.24671916
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/lucene/lucene_2.2.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/lucene/lucene_2.4.csv,536,336,111,12,60,28,11,0.207089552
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/pBeans/pBeans_1.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/pBeans/pBeans_2.csv,64,4,4,0,0,3,1,0.0625
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/poi/poi_1.5.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/poi/poi_2.0RC1.csv,386,225,92,2,9,73,8,0.238341969
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/poi/poi_2.0RC1.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/poi/poi_2.5.1.csv,466,619,337,17,234,77,9,0.723175966
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/poi/poi_2.5.1.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/poi/poi_3.csv,531,328,123,0,57,61,5,0.231638418
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/synapse/synapse_1.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/synapse/synapse_1.1.csv,230,97,35,0,10,25,0,0.152173913
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/synapse/synapse_1.1.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/synapse/synapse_1.2.csv,269,211,72,0,11,61,0,0.267657993
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/velocity/velocity_1.4.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/velocity/velocity_1.5.csv,246,40,26,4,0,1,21,0.105691057
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/velocity/velocity_1.5.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/velocity/velocity_1.6.1.csv,261,183,101,7,15,46,33,0.38697318
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/xalan/xalan_2.4.0.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/xalan/xalan_2.5.0.csv,945,112,104,0,47,57,0,0.11005291
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/xalan/xalan_2.5.0.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/xalan/xalan_2.6.0.csv,1170,597,547,102,114,222,109,0.467521368
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/xalan/xalan_2.6.0.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/xalan/xalan_2.7.0.csv,1194,505,351,50,298,3,0,0.293969849
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/xerces/xerces_1.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/xerces/xerces_1.2.0.csv,515,59,40,10,3,15,12,0.077669903
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/xerces/xerces_1.2.0.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/xerces/xerces_1.3.0.csv,545,398,314,2,56,233,23,0.576146789
./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/xerces/xerces_1.3.0.csv,./cross-version-instance-overlap/JURECZKO/data_preprocessed_selected/xerces/xerces_1.4.4.csv,671,429,263,1,148,114,0,0.39195231
,,,,4121,0.054355739,0.321766562,0.55374909,0.07012861,0.244984578
